Formato_Brasileiro,Formato_Brasileiro_Longo,Formato_US,Formato_US_Longo
18/1/2019,"Janeiro 18, 2019, Sexta-feira",1/20/2017,"Friday, January 20, 2017"
19/1/2019,"Janeiro 19, 2019, Sábado",1/21/2017,"Saturday, January 21, 2017"
20/1/2019,"Janeiro 20, 2019, Domingo",1/22/2017,"Sunday, January 22, 2017"
21/1/2019,"Janeiro 21, 2019, Segunda-feira",1/23/2017,"Monday, January 23, 2017"
22/1/2019,"Janeiro 22, 2019, Terça-feira",1/24/2017,"Tuesday, January 24, 2017"
23/1/2019,"Janeiro 23, 2019, Quarta-feira",1/25/2017,"Wednesday, January 25, 2017"
24/1/2019,"Janeiro 24, 2019, Quinta-feira",1/26/2017,"Thursday, January 26, 2017"
25/1/2019,"Janeiro 25, 2019, Sexta-feira",1/27/2017,"Friday, January 27, 2017"
26/1/2019,"Janeiro 26, 2019, Sábado",1/28/2017,"Saturday, January 28, 2017"
27/1/2019,"Janeiro 27, 2019, Domingo",1/29/2017,"Sunday, January 29, 2017"
28/1/2019,"Janeiro 28, 2019, Segunda-feira",1/30/2017,"Monday, January 30, 2017"
1/2/2019,"Fevereiro 1, 2019, Terça-feira",2/1/2017,"Wednesday, February 1, 2017"
2/2/2019,"Fevereiro 2, 2019, Quarta-feira",2/2/2017,"Thursday, February 2, 2017"
3/2/2019,"Fevereiro 3, 2019, Quinta-feira",2/3/2017,"Friday, February 3, 2017"
4/2/2019,"Fevereiro 4, 2019, Sexta-feira",2/4/2017,"Saturday, February 4, 2017"
5/2/2019,"Fevereiro 5, 2019, Sábado",2/5/2017,"Sunday, February 5, 2017"
6/2/2019,"Fevereiro 6, 2019, Domingo",2/6/2017,"Monday, February 6, 2017"
7/2/2019,"Fevereiro 7, 2019, Segunda-feira",2/7/2017,"Tuesday, February 7, 2017"
8/2/2019,"Fevereiro 8, 2019, Terça-feira",2/8/2017,"Wednesday, February 8, 2017"
9/2/2019,"Fevereiro 9, 2019, Quarta-feira",2/9/2017,"Thursday, February 9, 2017"
10/2/2019,"Fevereiro 10, 2019, Quinta-feira",2/10/2017,"Friday, February 10, 2017"